"기준_년분기_코드","상권_구분_코드","상권_구분_코드_명","상권_코드","상권_코드_명","지출_총금액","식료품_지출_총금액","의류_신발_지출_총금액","생활용품_지출_총금액","의료비_지출_총금액","교통_지출_총금액","여가_지출_총금액","문화_지출_총금액","교육_지출_총금액","유흥_지출_총금액"
"20261","R","전통시장","3130123","꿈의숲 장곡 골목형상점가","143273865","37891238","17232774","10329031","19422341","24523711","4948942","4262839","18502331","6160658"
"20261","R","전통시장","3130122","밤나무골시장","63630617","17708549","7553955","4788958","9133129","10409232","2223690","1934033","7178591","2700480"
"20261","R","전통시장","3130121","길음시장","19659596","4712672","2494950","1584846","2614288","3877958","725726","573340","2116656","959160"
"20261","R","전통시장","3130120","돈암시장(돈암제일시장)","73712207","23910468","8616824","6357368","11219221","9685673","2425123","2774086","5650388","3073056"
"20261","R","전통시장","3130119","정릉아리랑시장","252462938","71347905","29876678","18919110","35872917","38642400","9543806","7745687","30340944","10173491"
"20261","R","전통시장","3130118","정릉골 골목형상점가","370177719","90510619","45938536","28001220","46428213","65838350","15470652","10996918","51253587","15739624"
"20261","R","전통시장","3130117","정릉시장","440848055","122257296","53447655","34736184","59529535","71494345","14953638","14431326","50352876","19645200"
"20261","R","전통시장","3130116","동성타워프라자","193627363","41209289","26298345","15260766","21467594","35612871","12166321","5226380","28474651","7911146"
"20261","R","전통시장","3130115","우림골목시장","980978835","277380089","117037342","72458432","141581656","151707164","39525666","29911525","112381608","38995353"
"20261","R","전통시장","3130114","유영시장","54553622","13303871","6518764","3819306","6576936","9046617","1949620","1570334","9511871","2256303"
"20261","R","전통시장","3130112","사가정시장","797632147","237663198","94019327","60198729","115544774","116068448","28812432","26219194","86723691","32382354"
"20261","R","전통시장","3130111","동원전통종합시장(동원시장, 동원전통시장 상점가)","926157899","263585737","109332679","66648836","129202432","142254520","32298254","29151709","115681953","38001779"
"20261","R","전통시장","3130110","면목골목시장(면목시장)","605795914","178064852","72116290","44209250","87223770","88327941","22987483","19525748","68949721","24390859"
